,question,golden_answer,answer,judge,model
225,who are the characters in yo gabba gabba,DJ Lance Rock,"The main characters in Yo Gabba Gabba! are:

1. DJ Lance Rock (Lance Robertson)
2. Foofa (Candi Milo)
3. Muno (Adam Deibert)
4. Brobee (Eric Bauza)
5. Toodee (Dahlia Legault)
6. Plex (Adam Wylie)
7. The Gabba Land Gang (Various)
8. Super Martian Robot Girl",True,gpt35
226,who was the captain of the mayflower when it took the pilgrims to the new world,Captain Jones,The captain of the Mayflower was Christopher Jones.,True,gpt35
227,who won the national championship in volleyball 2017,Ohio State,The Ohio State University won the 2017 NCAA Division I Women's Volleyball National Championship.,True,gpt35
228,name a food you might eat on thanksgiving,a large roasted turkey,Turkey.,True,gpt35
230,what is the longest pier in the uk,Southend Pier,"The longest pier in the UK is Southend Pier in Essex, which is 1.34 miles (2.16 km) long.",True,gpt35
231,who did cora marry in once upon a time,Henry,Cora married King Xavier in Once Upon a Time.,False,gpt35
233,who owns the dower house in the archers,Lilian Bellamy,The Dower House in The Archers is owned by Shula Hebden Lloyd.,False,gpt35
234,who sings that aint no way to go,Brooks & Dunn,"The song ""Ain't No Way to Go"" was written and performed by Eric Church.",False,gpt35
236,what is the 3rd largest state in usa,Alaska,"The third largest state in the United States is Florida, with an area of 65,755 square miles.",False,gpt35
237,who sings why does it hurt when i pee,Frank Zappa,"The song ""Why Does It Hurt When I Pee?"" is performed by the band Fastball.",False,gpt35
238,when does the cannes film festival take place,"Cannes, France","The Cannes Film Festival typically takes place in May, usually the second week. In 2021, it will take place from July 6th to July 17th.",True,gpt35
241,who is the voice of the other mother in coraline,Teri Hatcher,The voice of the Other Mother in Coraline is played by Teri Hatcher.,True,gpt35
242,how many tornado planes does the uk have,138,The UK does not have any tornado planes.,False,gpt35
243,how many strong verbs are there in german,more than 200,"There is no definitive answer to this question, as the number of strong verbs in German can vary depending on the specific definition of a strong verb. Generally, there are estimated to be between 300 and 500 strong verbs in the German language.",False,gpt35
244,who sings tie a yellow ribbon around the old oak tree,Joyce Vincent Wilson,"The song ""Tie a Yellow Ribbon Round the Ole Oak Tree"" was originally performed by Tony Orlando and Dawn in 1973.",True,gpt35
245,where does patience is a virtue come from,"""Psychomachia,""","The phrase ""Patience is a virtue"" is believed to have originated in the late 1300s, in Geoffrey Chaucer's The Canterbury Tales. In the work, the character ""Patience"" is depicted as a personification of virtue.",False,gpt35
246,which country has the smallest population in europe,Vatican City,"Vatican City has the smallest population in Europe, with a population of just over 800 people.",True,gpt35
247,who plays elsa's aunt in once upon a time,Elizabeth Mitchell,Elizabeth Mitchell plays Elsa's Aunt Ingrid in Once Upon a Time.,True,gpt35
248,where was held the first session of muslim league,"Dhaka, Bangladesh","The first session of the All India Muslim League was held on 30 December 1906 at the Ahsan Manzil Palace in Dhaka, Bengal (now in Bangladesh).",True,gpt35
249,what is the name of the dragon in eragon,Saphira,The dragon's name in Eragon is Saphira.,True,gpt35
250,points outside the production possibilities curve represent combinations of products that are,unattainable,"not attainable. This is because the production possibilities curve illustrates the maximum possible
combination of two goods that can be produced with a given level of resources and technology.
Therefore, points outside the curve are not achievable with the current resources and technology.",True,gpt35
251,what is the largest magnitude earthquake that has occurred in the pacific northwest,The 1700 Cascadia earthquake,The largest magnitude earthquake to ever occur in the Pacific Northwest was a magnitude 9.0 that occurred off the coast of Alaska in 1964.,False,gpt35
253,when will the flash season 4 episode 17 come out,"April 10, 2018","The Flash season 4 episode 17 will air on Tuesday, May 1, 2018 at 8/7c on The CW.",False,gpt35
255,who is the head a in pretty little liars,CeCe Drake,"The head of the A-Team is a mysterious character known as ""A"" or ""Uber A."" The identity of A has been revealed to be Charles DiLaurentis, the twin brother of Alison DiLaurentis.",False,gpt35
256,when did the term sustainability start to be used,1987,"The term sustainability began to be used in the late 1980s, when it was adopted by the United Nations World Commission on Environment and Development in its 1987 report, Our Common Future.",True,gpt35
257,where was the killing of a sacred deer filmed,Cincinnati,"The Killing of a Sacred Deer was filmed in Ireland, mainly in Dublin.",False,gpt35
259,who was the killer in the movie i know what you did last summer,Ben Willis,The killer in I Know What You Did Last Summer was a fisherman named Ben Willis.,True,gpt35
260,who played susanna in legends of the fall,Julia Ormond,Julia Ormond played Susanna in Legends of the Fall.,True,gpt35
261,what new deal program limited production in industry,National Industrial Recovery Act,"The National Recovery Administration (NRA) was a central program of the New Deal, established by U.S. President Franklin D. Roosevelt in 1933. The goal of the NRA was to stabilize prices and wages, to increase employment, and to help revive the economy during the Great Depression. It did this by setting industry-wide codes of ""fair competition"" that limited production, set minimum wages and maximum work hours, and established rules of collective bargaining.",False,gpt35
263,the group that officially elects the president of the united states is called,the U.S. Electoral College,the Electoral College. The Electoral College consists of 538 electors who cast votes to determine the President and Vice President of the United States. Each state is allocated a number of electors equal to the number of its U.S. Senators and Representatives in Congress. The District of Columbia is also granted three electors. The electors of each state and the District of Columbia cast their votes on the first Monday after the second Wednesday in December after the presidential election. The votes are then counted in a joint session of Congress,True,gpt35
264,who played adaline in the age of adaline,Adaline Bowman,The role of Adaline in The Age of Adaline was played by Blake Lively.,True,gpt35
265,who played raquel in only fools and horses,Tessa Peake-Jones,The character of Raquel Turner was played by Tessa Peake-Jones.,True,gpt35
266,who was elected governor of tennessee in 1865,Edward H. East,William Gannaway Brownlow was elected governor of Tennessee in 1865.,True,gpt35
267,what type of political system does el salvador have,a presidential representative democratic republic,"El Salvador has a presidential representative democratic republic. The president serves as both the head of state and head of government and is elected by popular vote. The legislative branch is a unicameral legislature, the Legislative Assembly, which is composed of 84 members elected by popular vote. The judicial branch is headed by the Supreme Court of El Salvador.",True,gpt35
269,when did they stop making pull tabs on beer cans,1990,"Pull tabs were phased out of production in the United States in 1975, when a new opening method was introduced. The new “stay-tab” cans used a small ring on the top of the can that could be pulled open, but stayed attached to the can.",True,gpt35
270,what is the poorest county in the state of florida,Union,"The poorest county in the state of Florida is Hendry County, located in the southwestern part of the state. According to the U.S. Census Bureau, the median household income in Hendry County is $41,716, which is the lowest of all 67 counties in the state.",False,gpt35
273,when did how you remind me come out,"August 21, 2001","The song ""How You Remind Me"" by Nickelback was released on August 21, 2001.",True,gpt35
274,the joint between a coxal bone of the pelvis and the sacrum,sacroiliac joint,"The sacroiliac joint is the joint between a coxal bone of the pelvis and the sacrum. It is a strong, weight-bearing joint and is composed of the sacrum and the ilium of the pelvis. The joint is reinforced by strong ligaments and is supported by muscles of the pelvic floor and lower back.",True,gpt35
275,what is the song in red dead redemption,Far Away,"The main theme song for Red Dead Redemption is ""Far Away"" by José González.",True,gpt35
276,who played cosette in les miserables on broadway,Samantha Hill,Samantha Barks,False,gpt35
277,when did stephen curry won the mvp award,"2015,",Stephen Curry won the MVP award in the 2014-15 season.,True,gpt35
278,who ran the fastest 40 yard dash in the nfl,Jakeem Grant,"combine

The fastest 40-yard dash time ever recorded at the NFL Combine is 4.22 seconds, set by wide receiver John Ross in 2017.",True,gpt35
